FEN,REAL,SYNTHETIC
rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2Q1PN2/PP3PPP/R3KB1R,game2_frame_002000.png,game2_frame_002000.png
rnb2rk1/ppp1qpp1/4p2p/8/2pP4/2Q1PN2/PP3PPP/R3KB1R,game2_frame_003100.png,game2_frame_003100.png
rnb2rk1/ppp1qpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R3K2R,game2_frame_003308.png,game2_frame_003308.png
r1b2rk1/pppnqpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R3K2R,game2_frame_003328.png,game2_frame_003328.png
r1b2rk1/pppnqpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R4RK1,game2_frame_003416.png,game2_frame_003416.png
r1b2rk1/ppp1qpp1/1n2p2p/8/2BP4/2Q1PN2/PP3PPP/R4RK1,game2_frame_004264.png,game2_frame_004264.png
r1b2rk1/ppp1qpp1/1n2p2p/8/2BP4/2Q1PN2/PP3PPP/2R2RK1,game2_frame_005044.png,game2_frame_005044.png
r1b2rk1/pp2qpp1/1np1p2p/8/2BP4/2Q1PN2/PP3PPP/2R2RK1,game2_frame_006092.png,game2_frame_006092.png
r1b2rk1/pp2qpp1/1np1p2p/8/3P4/1BQ1PN2/PP3PPP/2R2RK1,game2_frame_006368.png,game2_frame_006368.png
r4rk1/pp1bqpp1/1np1p2p/8/3P4/1BQ1PN2/PP3PPP/2R2RK1,game2_frame_006532.png,game2_frame_006532.png
r4rk1/pp1bqpp1/1np1p2p/4N3/3P4/1BQ1P3/PP3PPP/2R2RK1,game2_frame_006568.png,game2_frame_006568.png
2r2rk1/pp1bqpp1/1np1p2p/4N3/3P4/1BQ1P3/PP3PPP/2R2RK1,game2_frame_007000.png,game2_frame_007000.png
2r2rk1/pp1bqpp1/1np1p2p/Q3N3/3P4/1B2P3/PP3PPP/2R2RK1,game2_frame_007728.png,game2_frame_007728.png
r4rk1/pp1bqpp1/1np1p2p/Q3N3/3P4/1B2P3/PP3PPP/2R2RK1,game2_frame_008952.png,game2_frame_008952.png
r4rk1/pp1bqpp1/1np1p2p/2Q1N3/3P4/1B2P3/PP3PPP/2R2RK1,game2_frame_008988.png,game2_frame_008988.png
r3r1k1/pp1bqpp1/1np1p2p/2Q1N3/3P4/1B2P3/PP3PPP/2R2RK1,game2_frame_009384.png,game2_frame_009384.png
r3r1k1/pp1bqpp1/1np1p2p/2Q1N3/P2P4/1B2P3/1P3PPP/2R2RK1,game2_frame_009884.png,game2_frame_009884.png
r3r1k1/pp1bqpp1/2p1p2p/2QnN3/P2P4/1B2P3/1P3PPP/2R2RK1,game2_frame_010096.png,game2_frame_010096.png
r3r1k1/pp1bqpp1/2p1p2p/2QBN3/P2P4/4P3/1P3PPP/2R2RK1,game2_frame_011140.png,game2_frame_011140.png
r3r1k1/pp1bqpp1/2p4p/2QpN3/P2P4/4P3/1P3PPP/2R2RK1,game2_frame_011456.png,game2_frame_011456.png
r5k1/pp1brpp1/2p4p/3pN3/P2P4/4P3/1P3PPP/2R2RK1,game2_frame_011712.png,game2_frame_011712.png
r5k1/pp1Nrpp1/2p4p/3p4/P2P4/4P3/1P3PPP/2R2RK1,game2_frame_011740.png,game2_frame_011740.png
r5k1/pp1r1pp1/2p4p/3p4/P2P4/4P3/1P3PPP/2R2RK1,game2_frame_011760.png,game2_frame_011760.png
r5k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/5PPP/2R2RK1,game2_frame_012092.png,game2_frame_012092.png
2r3k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/5PPP/2R2RK1,game2_frame_012864.png,game2_frame_012864.png
2r3k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/5RK1,game2_frame_013328.png,game2_frame_013328.png
2r3k1/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R3K1,game2_frame_013636.png,game2_frame_013636.png
2r2k2/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R3K1,game2_frame_013896.png,game2_frame_013896.png
2r2k2/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R2K2,game2_frame_014132.png,game2_frame_014132.png
2r5/ppr1kpp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R2K2,game2_frame_014180.png,game2_frame_014180.png
2r5/ppr1kpp1/2p4p/3p4/PP1P4/4P3/2R1KPPP/2R5,game2_frame_014208.png,game2_frame_014208.png
2r5/ppr2pp1/2pk3p/3p4/PP1P4/4P3/2R1KPPP/2R5,game2_frame_014256.png,game2_frame_014256.png
2r5/ppr2pp1/2pk3p/3p4/PP1P4/3KP3/2R2PPP/2R5,game2_frame_014348.png,game2_frame_014348.png
2r5/p1r2pp1/1ppk3p/3p4/PP1P4/3KP3/2R2PPP/2R5,game2_frame_014904.png,game2_frame_014904.png
2r5/p1r2pp1/1ppk3p/3p4/PP1P2P1/3KP3/2R2P1P/2R5,game2_frame_016592.png,game2_frame_016592.png
2r5/p1r2pp1/1p1k3p/2pp4/PP1P2P1/3KP3/2R2P1P/2R5,game2_frame_018764.png,game2_frame_018764.png
2r5/p1r2pp1/1p1k3p/2Pp4/PP4P1/3KP3/2R2P1P/2R5,game2_frame_019352.png,game2_frame_019352.png
2r5/p1r2pp1/3k3p/2pp4/PP4P1/3KP3/2R2P1P/2R5,game2_frame_019384.png,game2_frame_019384.png
2r5/p1r2pp1/3k3p/2Rp4/PP4P1/3KP3/5P1P/2R5,game2_frame_019936.png,game2_frame_019936.png
8/p4pp1/7p/2kp4/P5P1/3KP3/5P1P/8,game2_frame_020048.png,game2_frame_020048.png
8/p4pp1/7p/2kp4/P5P1/2K1P3/5P1P/8,game2_frame_020064.png,game2_frame_020064.png
8/p4p2/7p/2kp2p1/P5P1/2K1P3/5P1P/8,game2_frame_021900.png,game2_frame_021900.png
8/p4p2/7p/2kp2p1/P4PP1/2K1P3/7P/8,game2_frame_023676.png,game2_frame_023676.png
8/5p2/p6p/2kp2p1/P4PP1/2K1P3/7P/8,game2_frame_026928.png,game2_frame_026928.png
8/5p2/p6p/2kp1Pp1/P5P1/2K1P3/7P/8,game2_frame_030604.png,game2_frame_030604.png
8/8/p4p1p/2kp1Pp1/P5P1/2K1P3/7P/8,game2_frame_030388.png,game2_frame_030388.png
8/8/p4p1p/P1kp1Pp1/6P1/2K1P3/7P/8,game2_frame_031032.png,game2_frame_031032.png
8/8/p4p1p/Pk1p1Pp1/3K2P1/4P3/7P/8,game2_frame_031140.png,game2_frame_031140.png
8/8/p4p1p/k2p1Pp1/3K2P1/4P3/7P/8,game2_frame_031332.png,game2_frame_031332.png
8/8/p4p1p/k2K1Pp1/6P1/4P3/7P/8,game2_frame_031664.png,game2_frame_031664.png
8/8/pk3p1p/3K1Pp1/6P1/4P3/7P/8,game2_frame_031800.png,game2_frame_031800.png
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,game4_frame_000028.png,game4_frame_000028.png
rnbqkb1r/pp2pppp/3p4/3nP3/3P4/8/PP3PPP/RNBQKBNR,game4_frame_000820.png,game4_frame_000820.png
rnbqkb1r/pp2pppp/3p4/3nP3/3P4/5N2/PP3PPP/RNBQKB1R,game4_frame_000848.png,game4_frame_000848.png
r1bqkb1r/pp2pppp/2np4/3nP3/2BP4/5N2/PP3PPP/RNBQK2R,game4_frame_000892.png,game4_frame_000892.png
r1bqkb1r/pp2pppp/2n5/3np3/2BP4/5N2/PP3PPP/RNBQK2R,game4_frame_000924.png,game4_frame_000924.png
r1bqkb1r/pp2pppp/2n5/3nP3/2B5/5N2/PP3PPP/RNBQK2R,game4_frame_000964.png,game4_frame_000964.png
r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQK2R,game4_frame_001320.png,game4_frame_001320.png
r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1,game4_frame_001396.png,game4_frame_001396.png
r2qkb1r/pp2pp1p/2n1b1p1/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1,game4_frame_001544.png,game4_frame_001544.png
r2qkb1r/pp2pp1p/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB2RK1,game4_frame_001664.png,game4_frame_001664.png
r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB2RK1,game4_frame_002156.png,game4_frame_002156.png
r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1,game4_frame_003232.png,game4_frame_003232.png
r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1,game4_frame_003748.png,game4_frame_003748.png
r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP1B1PPP/RN2R1K1,game4_frame_004284.png,game4_frame_004284.png
r2q1rk1/ppn1ppbp/2n1b1p1/4P3/2B5/1Q3N2/PP1B1PPP/RN2R1K1,game4_frame_004660.png,game4_frame_004660.png
r2q1rk1/pp2ppbp/2n1n1p1/4P3/8/1Q3N2/PP1B1PPP/RN2R1K1,game4_frame_004880.png,game4_frame_004880.png
r2q1rk1/pQ2ppbp/2n1n1p1/4P3/8/5N2/PP1B1PPP/RN2R1K1,game4_frame_005968.png,game4_frame_005968.png
r2q1rk1/pQ2ppbp/4n1p1/4P3/3n4/5N2/PP1B1PPP/RN2R1K1,game4_frame_006504.png,game4_frame_006504.png
r2q1rk1/pQ2ppbp/4n1p1/4P3/3N4/8/PP1B1PPP/RN2R1K1,game4_frame_006656.png,game4_frame_006656.png
r2q1rk1/p3ppbp/6p1/4P3/3nQ3/8/PP1B1PPP/RN2R1K1,game4_frame_006856.png,game4_frame_006856.png
1r1q1rk1/p3ppbp/6p1/4P3/3nQ3/8/PP1B1PPP/RN2R1K1,game4_frame_007992.png,game4_frame_007992.png
1r1q1rk1/p3ppbp/6p1/4P3/3nQ3/2B5/PP3PPP/RN2R1K1,game4_frame_008820.png,game4_frame_008820.png
1r1q1rk1/p3ppbp/4n1p1/4P3/4Q3/2B5/PP3PPP/RN2R1K1,game4_frame_008896.png,game4_frame_008896.png
1r1q1rk1/p3ppbp/4n1p1/4P3/4Q3/2B5/PP1N1PPP/R3R1K1,game4_frame_009148.png,game4_frame_009148.png
1r1q1rk1/p3ppbp/6p1/2n1P3/4Q3/2B5/PP1N1PPP/R3R1K1,game4_frame_009404.png,game4_frame_009404.png
1r1q1rk1/p3ppbp/6p1/2n1P3/3Q4/2B5/PP1N1PPP/R3R1K1,game4_frame_010588.png,game4_frame_010588.png
1r1q1rk1/p3ppbp/6p1/4P3/3Q4/2Bn4/PP1N1PPP/R3R1K1,game4_frame_011104.png,game4_frame_011104.png
1r1q1rk1/p3ppbp/6p1/4P3/3Q4/2BnR3/PP1N1PPP/R5K1,game4_frame_011668.png,game4_frame_011668.png
1r3rk1/p3ppbp/6p1/4P3/3B4/3nR3/PP1N1PPP/R5K1,game4_frame_012316.png,game4_frame_012316.png
1r3rk1/p3ppbp/6p1/4P3/3B4/4R3/Pn1N1PPP/R5K1,game4_frame_012444.png,game4_frame_012444.png
1r3rk1/p3ppbp/6p1/4P3/2nB4/4R3/P2N1PPP/1R4K1,game4_frame_012880.png,game4_frame_012880.png
1R3rk1/p3ppbp/6p1/4P3/2nB4/4R3/P2N1PPP/6K1,game4_frame_013192.png,game4_frame_013192.png
1r4k1/p3ppbp/6p1/4P3/2nB4/4R3/P2N1PPP/6K1,game4_frame_013316.png,game4_frame_013316.png
1r4k1/p3ppbp/6p1/4P3/2nB4/1R6/P2N1PPP/6K1,game4_frame_013352.png,game4_frame_013352.png
3r2k1/p3ppbp/6p1/4P3/2nB4/1R6/P2N1PPP/6K1,game4_frame_014060.png,game4_frame_014060.png
6k1/p3ppbp/6p1/4P3/2Nr4/1R6/P4PPP/6K1,game4_frame_014428.png,game4_frame_014428.png
1R4k1/p3ppbp/6p1/4P3/2Nr4/8/P4PPP/6K1,game4_frame_014464.png,game4_frame_014464.png
1R3bk1/p3pp1p/6p1/4P3/3r4/4N3/P4PPP/6K1,game4_frame_014504.png,game4_frame_014504.png
1R3bk1/p3pp1p/6p1/4P3/r7/4N3/P4PPP/6K1,game4_frame_015216.png,game4_frame_015216.png
1R3bk1/p3pp1p/6p1/4P3/r7/4N1P1/P4P1P/6K1,game4_frame_015864.png,game4_frame_015864.png
1R3bk1/p3pp1p/6p1/4P3/8/4N1P1/r4P1P/6K1,game4_frame_015944.png,game4_frame_015944.png
1R3bk1/p3pp1p/6p1/3NP3/8/6P1/r4P1P/6K1,game4_frame_015972.png,game4_frame_015972.png
1R3b2/p3ppkp/6p1/3NP3/8/6P1/r4P1P/6K1,game4_frame_016136.png,game4_frame_016136.png
5b2/pR2ppkp/6p1/3NP3/8/6P1/r4P1P/6K1,game4_frame_016232.png,game4_frame_016232.png
5b2/pR2ppkp/6p1/r2NP3/8/6P1/5P1P/6K1,game4_frame_018052.png,game4_frame_018052.png
5b2/pR2Npkp/6p1/4r3/8/6P1/5P1P/6K1,game4_frame_018432.png,game4_frame_018432.png
5b2/pR3pkp/2N3p1/4r3/8/6P1/5P1P/6K1,game4_frame_018844.png,game4_frame_018844.png
5b2/pR3pkp/2N3p1/8/8/6P1/4rP1P/6K1,game4_frame_019128.png,game4_frame_019128.png
5b2/pR3pkp/2N3p1/8/8/6P1/4rP1P/5K2,game4_frame_019488.png,game4_frame_019488.png
5b2/pR3pkp/2N3p1/8/8/6P1/2r2P1P/5K2,game4_frame_019684.png,game4_frame_019684.png
3N1b2/pR3pkp/6p1/8/8/6P1/2r2P1P/5K2,game4_frame_020140.png,game4_frame_020140.png
3N1b2/1R3pkp/6p1/p7/8/6P1/2r2P1P/5K2,game4_frame_022252.png,game4_frame_022252.png
3N1b2/5Rkp/6p1/p7/8/6P1/2r2P1P/5K2,game4_frame_023452.png,game4_frame_023452.png
3N1bk1/5R1p/6p1/p7/8/6P1/2r2P1P/5K2,game4_frame_023508.png,game4_frame_023508.png
3N1bk1/7p/6p1/p7/5R2/6P1/2r2P1P/5K2,game4_frame_023540.png,game4_frame_023540.png
3N2k1/7p/3b2p1/p7/5R2/6P1/2r2P1P/5K2,game4_frame_024180.png,game4_frame_024180.png
3N2k1/7p/3b2p1/p7/4R3/6P1/2r2P1P/5K2,game4_frame_024552.png,game4_frame_024552.png
3N2k1/7p/6p1/p1b5/4R3/6P1/2r2P1P/5K2,game4_frame_024584.png,game4_frame_024584.png
3N2k1/7p/6p1/p1b5/5R2/6P1/2r2P1P/5K2,game4_frame_025436.png,game4_frame_025436.png
3N2k1/8/6p1/p1b4p/5R2/6P1/2r2P1P/5K2,game4_frame_026828.png,game4_frame_026828.png
6k1/8/4N1p1/p1b4p/5R2/6P1/2r2P1P/5K2,game4_frame_027056.png,game4_frame_027056.png
6k1/8/3bN1p1/p6p/5R2/6P1/2r2P1P/5K2,game4_frame_027112.png,game4_frame_027112.png
6k1/8/4N1p1/p3b2p/3R4/6P1/2r2P1P/5K2,game4_frame_027984.png,game4_frame_027984.png
6k1/8/4N1p1/p2Rb2p/8/6P1/2r2P1P/5K2,game4_frame_028124.png,game4_frame_028124.png
6k1/8/4N1p1/p2R3p/8/2b3P1/2r2P1P/5K2,game4_frame_028412.png,game4_frame_028412.png
6k1/8/6p1/p2R3p/5N2/2b3P1/2r2P1P/5K2,game4_frame_029056.png,game4_frame_029056.png
6k1/8/6p1/3R3p/p4N2/2b3P1/2r2P1P/5K2,game4_frame_029184.png,game4_frame_029184.png
3R2k1/8/6p1/7p/p4N2/2b3P1/2r2P1P/5K2,game4_frame_029464.png,game4_frame_029464.png
3R4/5k2/6p1/7p/p4N2/2b3P1/2r2P1P/5K2,game4_frame_029500.png,game4_frame_029500.png
R7/5k2/6p1/7p/p4N2/2b3P1/2r2P1P/5K2,game4_frame_029564.png,game4_frame_029564.png
R7/5k2/6p1/7p/p4N2/2b3P1/r4P1P/5K2,game4_frame_030000.png,game4_frame_030000.png
8/R4k2/6p1/7p/p4N2/2b3P1/r4P1P/5K2,game4_frame_030060.png,game4_frame_030060.png
6k1/R7/6p1/7p/p4N2/2b3P1/r4P1P/5K2,game4_frame_030232.png,game4_frame_030232.png
R5k1/8/6p1/7p/p4N2/2b3P1/r4P1P/5K2,game4_frame_030952.png,game4_frame_030952.png
R7/7k/6p1/7p/p4N2/2b3P1/r4P1P/5K2,game4_frame_031008.png,game4_frame_031008.png
8/R6k/6p1/7p/p4N2/2b3P1/r4P1P/5K2,game4_frame_031332.png,game4_frame_031332.png
8/R7/6pk/7p/p4N2/2b3P1/r4P1P/5K2,game4_frame_031432.png,game4_frame_031432.png
8/8/R5pk/7p/p4N2/2b3P1/r4P1P/5K2,game4_frame_031880.png,game4_frame_031880.png
8/8/R5pk/7p/5N2/p1b3P1/r4P1P/5K2,game4_frame_031912.png,game4_frame_031912.png
8/8/6Rk/7p/5N2/p1b3P1/r4P1P/5K2,game4_frame_031944.png,game4_frame_031944.png
8/7k/6R1/7p/5N2/p1b3P1/r4P1P/5K2,game4_frame_031960.png,game4_frame_031960.png
8/7k/R7/7p/5N2/p1b3P1/r4P1P/5K2,game4_frame_032288.png,game4_frame_032288.png
8/7k/R7/7p/5N2/p1b3P1/5P1P/r4K2,game4_frame_032320.png,game4_frame_032320.png
8/7k/R7/7p/5N2/p1b3P1/5PKP/r7,game4_frame_032400.png,game4_frame_032400.png
8/7k/R7/7p/3b1N2/p5P1/5PKP/r7,game4_frame_032808.png,game4_frame_032808.png
8/7k/8/7p/R2b1N2/p5P1/5PKP/r7,game4_frame_033452.png,game4_frame_033452.png
8/7k/8/7p/R4N2/p5P1/1b3PKP/r7,game4_frame_034136.png,game4_frame_034136.png
8/7k/8/7N/R7/p5P1/1b3PKP/r7,game4_frame_034236.png,game4_frame_034236.png
8/7k/8/7N/R7/p5P1/1b3PKP/3r4,game4_frame_034268.png,game4_frame_034268.png
8/7k/8/8/R4N2/p5P1/1b3PKP/3r4,game4_frame_034392.png,game4_frame_034392.png
8/7k/8/8/R4N2/p5P1/1b1r1PKP/8,game4_frame_034532.png,game4_frame_034532.png
8/7k/8/8/R4N1P/p5P1/1b1r1PK1/8,game4_frame_035020.png,game4_frame_035020.png
8/7k/8/8/R4N1P/p5P1/3r1PK1/2b5,game4_frame_035056.png,game4_frame_035056.png
8/7k/8/8/R4N1P/p4KP1/3r1P2/2b5,game4_frame_035212.png,game4_frame_035212.png
8/7k/8/8/R6P/p2N1KP1/2r2P2/2b5,game4_frame_035492.png,game4_frame_035492.png
8/7k/8/8/R6P/p1rN1KP1/5P2/2b5,game4_frame_035704.png,game4_frame_035704.png
8/7k/8/8/R3K2P/p1rN2P1/5P2/2b5,game4_frame_035720.png,game4_frame_035720.png
8/7k/7b/8/R3K2P/p1rN2P1/5P2/8,game4_frame_035848.png,game4_frame_035848.png
8/7k/7b/8/R3KP1P/p1rN2P1/8/8,game4_frame_035924.png,game4_frame_035924.png
5b2/7k/8/8/R3KP1P/p1rN2P1/8/8,game4_frame_035972.png,game4_frame_035972.png
5b2/7k/8/8/R3KPPP/p1rN4/8/8,game4_frame_036224.png,game4_frame_036224.png
5b2/7k/8/8/R3KPPP/p2N4/2r5/8,game4_frame_036244.png,game4_frame_036244.png
5b2/R6k/8/8/4KPPP/p2N4/2r5/8,game4_frame_036400.png,game4_frame_036400.png
5bk1/R7/8/8/4KPPP/p2N4/2r5/8,game4_frame_036424.png,game4_frame_036424.png
R4bk1/8/8/8/4KPPP/p2N4/2r5/8,game4_frame_036484.png,game4_frame_036484.png
R4bk1/8/8/8/2r1KPPP/p2N4/8/8,game4_frame_036520.png,game4_frame_036520.png
R4bk1/8/8/3K4/2r2PPP/p2N4/8/8,game4_frame_036556.png,game4_frame_036556.png
R4bk1/8/8/3K4/5PPP/p1rN4/8/8,game4_frame_036580.png,game4_frame_036580.png
R4bk1/8/8/3KN3/5PPP/p1r5/8/8,game4_frame_036652.png,game4_frame_036652.png
R4bk1/8/8/3KN3/5PPP/p6r/8/8,game4_frame_036740.png,game4_frame_036740.png
R4bk1/8/6N1/3K4/5PPP/p6r/8/8,game4_frame_036772.png,game4_frame_036772.png
R4b2/6k1/6N1/3K4/5PPP/p6r/8/8,game4_frame_036796.png,game4_frame_036796.png
R4N2/6k1/8/3K4/5PPP/p6r/8/8,game4_frame_036812.png,game4_frame_036812.png
R7/6k1/4N3/3K4/5PPr/p7/8/8,game4_frame_037000.png,game4_frame_037000.png
R7/8/4Nk2/3K2P1/5P1r/p7/8/8,game4_frame_037040.png,game4_frame_037040.png
R7/4k3/4N3/3K2P1/5P1r/p7/8/8,game4_frame_037076.png,game4_frame_037076.png
8/4k3/4N3/3K2P1/5P1r/R7/8/8,game4_frame_037108.png,game4_frame_037108.png
8/4k3/4N3/3K2P1/5P2/R7/8/7r,game4_frame_037128.png,game4_frame_037128.png
8/4k3/4N3/3K2P1/5P2/4R3/8/7r,game4_frame_037180.png,game4_frame_037180.png
8/4k3/4N3/4K1P1/5P2/4R3/8/3r4,game4_frame_037220.png,game4_frame_037220.png
8/4k3/4N3/4K1P1/5P2/4R3/8/r7,game4_frame_037264.png,game4_frame_037264.png
8/4k3/4N3/5KP1/5P2/4R3/8/r7,game4_frame_037340.png,game4_frame_037340.png
8/4k3/4N3/r3RKP1/5P2/8/8/8,game4_frame_037420.png,game4_frame_037420.png
8/4k3/4N3/4RKP1/5P2/8/8/r7,game4_frame_037504.png,game4_frame_037504.png
8/4k3/8/4RKP1/3N1P2/8/8/r7,game4_frame_037528.png,game4_frame_037528.png
6k1/8/6P1/4RK2/3N1P2/8/8/r7,game4_frame_037636.png,game4_frame_037636.png
6k1/8/5KP1/4R3/3N1P2/8/8/r7,game4_frame_037668.png,game4_frame_037668.png
6k1/8/r4KP1/4R3/3N1P2/8/8/8,game4_frame_037696.png,game4_frame_037696.png
6k1/8/r3RKP1/8/3N1P2/8/8/8,game4_frame_037716.png,game4_frame_037716.png
r5k1/8/4RKP1/8/3N1P2/8/8/8,game4_frame_037740.png,game4_frame_037740.png
r5k1/8/4RKP1/5N2/5P2/8/8/8,game4_frame_037772.png,game4_frame_037772.png
5rk1/8/4RKP1/5N2/5P2/8/8/8,game4_frame_037820.png,game4_frame_037820.png
5rk1/8/4R1P1/5NK1/5P2/8/8/8,game4_frame_037840.png,game4_frame_037840.png
r5k1/8/4R1P1/5NK1/5P2/8/8/8,game4_frame_037896.png,game4_frame_037896.png
r5k1/4R3/6P1/5NK1/5P2/8/8/8,game4_frame_037940.png,game4_frame_037940.png
1r4k1/4R3/6P1/5NK1/5P2/8/8/8,game4_frame_038044.png,game4_frame_038044.png
1r4k1/4R3/6PN/6K1/5P2/8/8/8,game4_frame_038208.png,game4_frame_038208.png
1r2k3/7R/6PN/6K1/5P2/8/8/8,game4_frame_038276.png,game4_frame_038276.png
4k3/6PR/5K1N/5P2/8/8/8/6r1,game4_frame_038480.png,game4_frame_038480.png
3k4/6PR/5K1N/5P2/8/8/8/6r1,game4_frame_038728.png,game4_frame_038728.png
4k1N1/7R/5K2/5P2/8/8/8/8,game4_frame_038832.png,game4_frame_038832.png
5kN1/7R/4K3/5P2/8/8/8/8,game4_frame_038872.png,game4_frame_038872.png
5kN1/R7/4K3/5P2/8/8/8/8,game4_frame_038924.png,game4_frame_038924.png
6k1/R7/5K2/5P2/8/8/8/8,game4_frame_039008.png,game4_frame_039008.png
7k/R7/5K2/5P2/8/8/8/8,game4_frame_039032.png,game4_frame_039032.png
R5k1/8/6K1/5P2/8/8/8/8,game4_frame_039084.png,game4_frame_039084.png
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,game5_frame_000044.png,game5_frame_000044.png
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,game5_frame_000528.png,game5_frame_000528.png
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR,game5_frame_000548.png,game5_frame_000548.png
rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR,game5_frame_000584.png,game5_frame_000584.png
rnbqkb1r/pp1ppppp/5n2/2p3B1/3P4/8/PPP1PPPP/RN1QKBNR,game5_frame_000664.png,game5_frame_000664.png
rnbqkb1r/pp1p1ppp/5p2/2p5/3P4/8/PPP1PPPP/RN1QKBNR,game5_frame_000752.png,game5_frame_000752.png
rnbqkb1r/pp1p1ppp/5p2/2pP4/8/8/PPP1PPPP/RN1QKBNR,game5_frame_001240.png,game5_frame_001240.png
rnbqkb1r/pp1p1p1p/5pp1/2pP4/8/8/PPP1PPPP/RN1QKBNR,game5_frame_001332.png,game5_frame_001332.png
rnbqkb1r/pp1p1p1p/5pp1/2pP4/2P5/8/PP2PPPP/RN1QKBNR,game5_frame_001372.png,game5_frame_001372.png
rnbqk2r/pp1p1pbp/5pp1/2pP4/2P5/8/PP2PPPP/RN1QKBNR,game5_frame_001412.png,game5_frame_001412.png
